ticker,stonk
LEGN,Legend Biotech Corporation American Depositary Shares
LESL,Leslie's Inc. Common Stock
LFST,LifeStance Health Group Inc. Common Stock
LFUS,Littelfuse Inc. Common Stock
LGIH,LGI Homes Inc. Common Stock
LHCG,LHC Group Common Stock
LI,Li Auto Inc. American Depositary Shares
LILA,Liberty Latin America Ltd. Class A Common Stock
LILAK,Liberty Latin America Ltd. Class C Common Stock
LITE,Lumentum Holdings Inc. Common Stock
LIVN,LivaNova PLC Ordinary Shares
LKFN,Lakeland Financial Corporation Common Stock
LKQ,LKQ Corporation Common Stock
LMDX,LumiraDx Limited Common Shares
LNT,Alliant Energy Corporation Common Stock
LOB,Live Oak Bancshares Inc. Common Stock
LOGI,Logitech International S.A. Ordinary Shares
LOPE,Grand Canyon Education Inc. Common Stock
LPLA,LPL Financial Holdings Inc. Common Stock
LPRO,Open Lending Corporation Class A Common Stock
LRCX,Lam Research Corporation Common Stock
LSCC,Lattice Semiconductor Corporation Common Stock
LSTR,Landstar System Inc. Common Stock
LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock
LULU,lululemon athletica inc. Common Stock
LYFT,Lyft Inc. Class A Common Stock
LZ,LegalZoom.com Inc. Common Stock
MANH,Manhattan Associates Inc. Common Stock
MANT,ManTech International Corporation Common Stock $0.01 Par Value
MAR,Marriott International Class A Common Stock
MARA,Marathon Digital Holdings Inc. Common Stock
MASI,Masimo Corporation Common Stock
MAT,Mattel Inc. Common Stock
MCFE,McAfee Corp. Class A Common Stock
MCHP,Microchip Technology Incorporated Common Stock
MDB,MongoDB Inc. Class A Common Stock
MDLZ,Mondelez International Inc. Class A Common Stock
MDRX,Allscripts Healthcare Solutions Inc. Common Stock
MEDP,Medpace Holdings Inc. Common Stock
MELI,MercadoLibre Inc. Common Stock
MEOH,Methanex Corporation Common Stock
MGEE,MGE Energy Inc
MIDD,Middleby Corporation (The) Common Stock
MIME,Mimecast Limited Ordinary Shares
MKSI,MKS Instruments Inc. Common Stock
MKTX,MarketAxess Holdings Inc. Common Stock
MLCO,Melco Resorts & Entertainment Limited American Depositary Shares
MLKN,MillerKnoll Inc. Common Stock
MMSI,Merit Medical Systems Inc. Common Stock
MMYT,MakeMyTrip Limited Ordinary Shares
MNDT,Mandiant Inc. Common Stock
MNDY,monday.com Ltd. Ordinary Shares
MNST,Monster Beverage Corporation
MNTV,Momentive Global Inc. Common Stock
MORN,Morningstar Inc. Common Stock
MPWR,Monolithic Power Systems Inc. Common Stock
MQ,Marqeta Inc. Class A Common Stock
MRCY,Mercury Systems Inc Common Stock
MRNA,Moderna Inc. Common Stock
MRTX,Mirati Therapeutics Inc. Common Stock
MRVI,Maravai LifeSciences Holdings Inc. Class A Common Stock
MRVL,Marvell Technology Inc. Common Stock
MSFT,Microsoft Corporation Common Stock
MSTR,MicroStrategy Incorporated Common Stock Class A
MTCH,Match Group Inc. Common Stock
MTSI,MACOM Technology Solutions Holdings Inc. Common Stock
MTTR,Matterport Inc. Class A Common Stock
MU,Micron Technology Inc. Common Stock
MXL,MaxLinear Inc. Common Stock
MYGN,Myriad Genetics Inc. Common Stock
NARI,Inari Medical Inc. Common Stock
NATI,National Instruments Corporation Common Stock
NAVI,Navient Corporation Common Stock
NBIX,Neurocrine Biosciences Inc. Common Stock
NCNO,nCino Inc. Common Stock
NDAQ,Nasdaq Inc. Common Stock
NDSN,Nordson Corporation Common Stock
NEO,NeoGenomics Inc. Common Stock
NEOG,Neogen Corporation Common Stock
NFE,New Fortress Energy Inc. Class A Common Stock
NFLX,Netflix Inc. Common Stock
NICE,NICE Ltd American Depositary Shares
NKLA,Nikola Corporation Common Stock
NLOK,NortonLifeLock Inc. Common Stock
NMIH,NMI Holdings Inc. Class A Common Stock
NMRK,Newmark Group Inc. Class A Common Stock
NOVT,Novanta Inc. Common Stock
NSIT,Insight Enterprises Inc. Common Stock
NTAP,NetApp Inc. Common Stock
NTCT,NetScout Systems Inc. Common Stock
NTES,NetEase Inc. American Depositary Shares
NTLA,Intellia Therapeutics Inc. Common Stock
NTNX,Nutanix Inc. Class A Common Stock
NTRA,Natera Inc. Common Stock
NTRS,Northern Trust Corporation Common Stock
NUAN,Nuance Communications Inc. Common Stock
NUVA,NuVasive Inc. Common Stock
NVAX,Novavax Inc. Common Stock
NVCR,NovoCure Limited Ordinary Shares
NVDA,NVIDIA Corporation Common Stock
NVEI,Nuvei Corporation Subordinate Voting Shares
NVMI,Nova Ltd. Ordinary Shares
NWE,NorthWestern Corporation Common Stock
NWL,Newell Brands Inc. Common Stock
NWS,News Corporation Class B Common Stock
NWSA,News Corporation Class A Common Stock
NXPI,NXP Semiconductors N.V. Common Stock
NXST,Nexstar Media Group Inc. Class A Common Stock
OAS,Oasis Petroleum Inc. Common Stock
OCDX,Ortho Clinical Diagnostics Holdings plc Ordinary Shares
ODFL,Old Dominion Freight Line Inc. Common Stock
ODP,The ODP Corporation Common Stock
OKTA,Okta Inc. Class A Common Stock
OLED,Universal Display Corporation Common Stock
OLLI,Ollie's Bargain Outlet Holdings Inc. Common Stock
OLPX,Olaplex Holdings Inc. Common Stock
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. ADS
OMCL,Omnicell Inc. Common Stock ($0.001 par value)
ON,ON Semiconductor Corporation Common Stock
ONB,Old National Bancorp Common Stock
OPCH,Option Care Health Inc. Common Stock
OPEN,Opendoor Technologies Inc Common Stock
OPK,OPKO Health Inc. Common Stock
ORLY,O'Reilly Automotive Inc. Common Stock
OTEX,Open Text Corporation Common Shares
OTLY,Oatly Group AB American Depositary Shares
OTTR,Otter Tail Corporation Common Stock
OZK,Bank OZK Common Stock
OZON,Ozon Holdings PLC American Depositary Shares each ADS representing one ordinary share
PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests
PAAS,Pan American Silver Corp. Common Stock
PACB,Pacific Biosciences of California Inc. Common Stock
PACW,PacWest Bancorp Common Stock
PAGP,Plains GP Holdings L.P. Class A Units representing Limited Partner Interests
PANW,Palo Alto Networks Inc. Common Stock
PAX,Patria Investments Limited Class A Common Shares
PAYX,Paychex Inc. Common Stock
PBCT,People's United Financial Inc. Common Stock
PCAR,PACCAR Inc. Common Stock
PCH,PotlatchDeltic Corporation Common Stock
PCRX,Pacira BioSciences Inc. Common Stock
PCTY,Paylocity Holding Corporation Common Stock
PDCE,PDC Energy Inc. Common Stock (Delaware)
PDCO,Patterson Companies Inc. Common Stock
PDD,Pinduoduo Inc. American Depositary Shares
PECO,Phillips Edison & Company Inc. Common Stock
PEGA,Pegasystems Inc. Common Stock
PENN,Penn National Gaming Inc. Common Stock
PEP,PepsiCo Inc. Common Stock
PFG,Principal Financial Group Inc Common Stock
PGNY,Progyny Inc. Common Stock
PINC,Premier Inc. Class A Common Stock
PLTK,Playtika Holding Corp. Common Stock
PLUG,Plug Power Inc. Common Stock
PLXS,Plexus Corp. Common Stock
PNFP,Pinnacle Financial Partners Inc. Common Stock
PODD,Insulet Corporation Common Stock
POOL,Pool Corporation Common Stock
POWI,Power Integrations Inc. Common Stock
PPBI,Pacific Premier Bancorp Inc
PPC,Pilgrim's Pride Corporation Common Stock
PRFT,Perficient Inc. Common Stock
PRGS,Progress Software Corporation Common Stock (DE)
PRVA,Privia Health Group Inc. Common Stock
PSEC,Prospect Capital Corporation Common Stock
PSMT,PriceSmart Inc. Common Stock
PTC,PTC Inc. Common Stock
PTCT,PTC Therapeutics Inc. Common Stock
PTEN,Patterson-UTI Energy Inc. Common Stock
PTON,Peloton Interactive Inc. Class A Common Stock
PYCR,Paycor HCM Inc. Common Stock
PYPL,PayPal Holdings Inc. Common Stock
PZZA,Papa John's International Inc. Common Stock
QCOM,QUALCOMM Incorporated Common Stock
QDEL,Quidel Corporation Common Stock
QFIN,360 DigiTech Inc. American Depositary Shares
QLYS,Qualys Inc. Common Stock
QRTEA,Qurate Retail Inc. Series A Common Stock 
QRTEB,Qurate Retail Inc. Series B Common Stock 
QRVO,Qorvo Inc. Common Stock
RARE,Ultragenyx Pharmaceutical Inc. Common Stock
RCII,Rent-A-Center Inc. Common Stock
RCM,R1 RCM Inc. Common Stock
RDFN,Redfin Corporation Common Stock
REG,Regency Centers Corporation Common Stock
REGN,Regeneron Pharmaceuticals Inc. Common Stock
REYN,Reynolds Consumer Products Inc. Common Stock
RGEN,Repligen Corporation Common Stock
RGLD,Royal Gold Inc. Common Stock
RIVN,Rivian Automotive Inc. Class A Common Stock
RKLB,Rocket Lab USA Inc. Common Stock
RLAY,Relay Therapeutics Inc. Common Stock
RMBS,Rambus Inc. Common Stock
RNST,Renasant Corporation Common Stock
RNW,ReNew Energy Global plc Class A Ordinary Shares
ROIC,Retail Opportunity Investments Corp. Common Stock (MD)
ROIV,Roivant Sciences Ltd. Common Shares
ROKU,Roku Inc. Class A Common Stock
ROLL,RBC Bearings Incorporated Common Stock
ROST,Ross Stores Inc. Common Stock
RPD,Rapid7 Inc. Common Stock
RPRX,Royalty Pharma plc Class A Ordinary Shares 
RRR,Red Rock Resorts Inc. Class A Common Stock
RUN,Sunrun Inc. Common Stock
RUSHA,Rush Enterprises Inc. Common Stock Cl A
RUSHB,Rush Enterprises Inc. Class B
RXT,Rackspace Technology Inc. Common Stock
RYAAY,Ryanair Holdings plc American Depositary Shares
SABR,Sabre Corporation Common Stock
SAFM,Sanderson Farms Inc. Common Stock
SAGE,Sage Therapeutics Inc. Common Stock
SAIA,Saia Inc. Common Stock
SANM,Sanmina Corporation Common Stock
SASR,Sandy Spring Bancorp Inc. Common Stock
SATS,EchoStar  Corporation Common Stock
SBAC,SBA Communications Corporation Class A Common Stock
SBCF,Seacoast Banking Corporation of Florida Common Stock
SBGI,Sinclair Broadcast Group Inc. Class A Common Stock
SBLK,Star Bulk Carriers Corp. Common Shares
SBNY,Signature Bank Common Stock
SBRA,Sabra Health Care REIT Inc. Common Stock
SBUX,Starbucks Corporation Common Stock
SEDG,SolarEdge Technologies Inc. Common Stock
SEIC,SEI Investments Company Common Stock
SFM,Sprouts Farmers Market Inc. Common Stock
SFNC,Simmons First National Corporation Class A Common Stock
SGEN,Seagen Inc. Common Stock
SGMS,Scientific Games Corp Common Stock
SGRY,Surgery Partners Inc. Common Stock
SHC,Sotera Health Company Common Stock
SHOO,Steven Madden Ltd. Common Stock
SIGI,Selective Insurance Group Inc. Common Stock
SIMO,Silicon Motion Technology Corporation American Depositary Shares
SIRI,Sirius XM Holdings Inc. Common Stock
SITM,SiTime Corporation Common Stock
SIVB,SVB Financial Group Common Stock
SLAB,Silicon Laboratories Inc. Common Stock
SLGN,Silgan Holdings Inc. Common Stock
SLM,SLM Corporation Common Stock
SMCI,Super Micro Computer Inc. Common Stock
SMPL,The Simply Good Foods Company Common Stock
SMTC,Semtech Corporation Common Stock
SNPS,Synopsys Inc. Common Stock
SNY,Sanofi ADS
SOFI,SoFi Technologies Inc. Common Stock  
SONO,Sonos Inc. Common Stock
SPLK,Splunk Inc. Common Stock
SPSC,SPS Commerce Inc. Common Stock
SPT,Sprout Social Inc Class A Common Stock
SPWR,SunPower Corporation Common Stock
SRAD,Sportradar Group AG Class A Ordinary Shares
SRCL,Stericycle Inc. Common Stock
SRPT,Sarepta Therapeutics Inc. Common Stock (DE)
SSB,SouthState Corporation Common Stock
SSNC,SS&C Technologies Holdings Inc. Common Stock
SSRM,SSR Mining Inc. Common Stock
STAA,STAAR Surgical Company Common Stock
STFC,State Auto Financial Corporation Common Stock
STLD,Steel Dynamics Inc.
STNE,StoneCo Ltd. Class A Common Shares
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland)
SWAV,ShockWave Medical Inc. Common Stock
SWKS,Skyworks Solutions Inc. Common Stock
SWTX,SpringWorks Therapeutics Inc. Common Stock
SYNA,Synaptics Incorporated Common Stock $0.001 Par Value
SYNH,Syneos Health Inc. Class A Common Stock
TASK,TaskUs Inc. Class A Common Stock
TBK,Triumph Bancorp Inc. Common Stock
TCBI,Texas Capital Bancshares Inc. Common Stock
TCOM,Trip.com Group Limited American Depositary Shares
TEAM,Atlassian Corporation Plc Class A Ordinary Shares
TECH,Bio-Techne Corp Common Stock
TENB,Tenable Holdings Inc. Common Stock
TER,Teradyne Inc. Common Stock
TFSL,TFS Financial Corporation Common Stock
THRM,Gentherm Inc Common Stock
TIGO,Millicom International Cellular S.A. Common Stock
TLRY,Tilray Brands Inc. Class 2 Common Stock 
TMUS,T-Mobile US Inc. Common Stock
TNDM,Tandem Diabetes Care Inc. Common Stock
TOWN,TowneBank Common Stock
TPG,TPG Inc. Class A Common Stock
TRIP,TripAdvisor Inc. Common Stock
TRMB,Trimble Inc. Common Stock
TROW,T. Rowe Price Group Inc. Common Stock
TRUP,Trupanion Inc. Common Stock
TSCO,Tractor Supply Company Common Stock
TSEM,Tower Semiconductor Ltd. Ordinary Shares
TSLA,Tesla Inc. Common Stock
TSP,TuSimple Holdings Inc. Class A Common Stock
TTD,The Trade Desk Inc. Class A Common Stock
TTEC,TTEC Holdings Inc. Common Stock
TTEK,Tetra Tech Inc. Common Stock
TTGT,TechTarget Inc. Common Stock
TTWO,Take-Two Interactive Software Inc. Common Stock
TW,Tradeweb Markets Inc. Class A Common Stock
TWKS,Thoughtworks Holding Inc. Common Stock
TWNK,Hostess Brands Inc. Class A Common Stock
TWST,Twist Bioscience Corporation Common Stock
TXG,10x Genomics Inc. Class A Common Stock
TXN,Texas Instruments Incorporated Common Stock
TXRH,Texas Roadhouse Inc. Common Stock
UAL,United Airlines Holdings Inc. Common Stock
UBSI,United Bankshares Inc. Common Stock
UCBI,United Community Banks Inc. Common Stock
UCTT,Ultra Clean Holdings Inc. Common Stock
UDMY,Udemy Inc. Common Stock
UFPI,UFP Industries Inc. Common Stock
UHAL,Amerco Common Stock
ULCC,Frontier Group Holdings Inc. Common Stock
ULTA,Ulta Beauty Inc. Common Stock
UMBF,UMB Financial Corporation Common Stock
UMPQ,Umpqua Holdings Corporation Common Stock
UNIT,Uniti Group Inc. Common Stock
UPST,Upstart Holdings Inc. Common stock
UPWK,Upwork Inc. Common Stock
URBN,Urban Outfitters Inc. Common Stock
UTHR,United Therapeutics Corporation Common Stock
VC,Visteon Corporation Common Stock
VCSA,Vacasa Inc. Class A Common Stock
VCTR,Victory Capital Holdings Inc. Class A Common Stock
VEON,VEON Ltd. ADS
VERX,Vertex Inc. Class A Common Stock
VG,Vonage Holdings Corp. Common Stock
VIAC,ViacomCBS Inc. Class B Common Stock
VIACA,ViacomCBS Inc. Class A Common Stock
VIAV,Viavi Solutions Inc. Common Stock
VICR,Vicor Corporation Common Stock
VIR,Vir Biotechnology Inc. Common Stock
VIRT,Virtu Financial Inc. Class A Common Stock
VLY,Valley National Bancorp Common Stock
VMEO,Vimeo Inc. Common Stock
VNOM,Viper Energy Partners LP Common Unit
VOD,Vodafone Group Plc American Depositary Shares
VORB,Virgin Orbit Holdings Inc. Common Stock
VRNS,Varonis Systems Inc. Common Stock
VRNT,Verint Systems Inc. Common Stock
VRRM,Verra Mobility Corporation Class A Common Stock
VRSK,Verisk Analytics Inc. Common Stock
VRSN,VeriSign Inc. Common Stock
VRTX,Vertex Pharmaceuticals Incorporated Common Stock
VSAT,ViaSat Inc. Common Stock
VTRS,Viatris Inc. Common Stock
WAFD,Washington Federal Inc. Common Stock
WB,Weibo Corporation American Depositary Share
WBA,Walgreens Boots Alliance Inc. Common Stock
WDAY,Workday Inc. Class A Common Stock
WDC,Western Digital Corporation Common Stock
WDFC,WD-40 Company Common Stock
WEN,Wendy's Company (The) Common Stock
WERN,Werner Enterprises Inc. Common Stock
WFRD,Weatherford International plc Ordinary Shares
WING,Wingstop Inc. Common Stock
WIRE,Encore Wire Corporation Common Stock
WIX,Wix.com Ltd. Ordinary Shares
WMG,Warner Music Group Corp. Class A Common Stock
WOOF,Petco Health and Wellness Company Inc. Class A Common Stock
WSBC,WesBanco Inc. Common Stock
WSC,WillScot Mobile Mini Holdings Corp. Class A Common Stock
WSFS,WSFS Financial Corporation Common Stock
WTFC,Wintrust Financial Corporation Common Stock
WTW,Willis Towers Watson Public Limited Company Ordinary Shares
WWD,Woodward Inc. Common Stock
WYNN,Wynn Resorts Limited Common stock
XEL,Xcel Energy Inc. Common Stock
XLNX,Xilinx Inc. Common Stock
XM,Qualtrics International Inc. Class A Common Stock
XMTR,Xometry Inc. Class A Common Stock
XP,XP Inc. Class A Common Stock
XRAY,DENTSPLY SIRONA Inc. Common Stock
XRX,Xerox Holdings Corporation Common Stock
YNDX,Yandex N.V. Class A Ordinary Shares
YY,JOYY Inc. American Depositary Shares
Z,Zillow Group Inc. Class C Capital Stock
ZBRA,Zebra Technologies Corporation Class A Common Stock
ZD,Ziff Davis Inc. Common Stock
ZG,Zillow Group Inc. Class A Common Stock
ZI,ZoomInfo Technologies Inc Class A Common Stock
ZION,Zions Bancorporation N.A. Common Stock
ZLAB,Zai Lab Limited American Depositary Shares
ZM,Zoom Video Communications Inc. Class A Common Stock
ZNGA,Zynga Inc. Class A Common Stock
ZNTL,Zentalis Pharmaceuticals Inc. Common Stock
ZS,Zscaler Inc. Common Stock
